Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,0218559166","0,1995852777","0,1267997219","-0,01133950531","0,2367298818"
"0,03180991649","0,2225493401","0,1172628401","-0,07001572967","0,2611148882"
"0,0417629166","0,1229138086","0,1644962096","-0,0178708452","0,2061217466"
"0,0517169165","0,006229769737","0,265075701","0,03365891218","0,2672767473"
"0,06167091662","-0,02007736512","0,3292262348","0,1133395046","0,3487676269"
"0,07162491651","-0,04721940927","0,3672307976","0,1326627982","0,3933033808"
"0,08157791663","-0,03035764731","0,3856778128","0,0652987808","0,3923428257"
"0,09153191652","-0,04159263365","0,3331915972","0,002348826528","0,3357858016"
"0,1014859166","0,06250563897","0,2836614414","-0,07668214023","0,300417907"
"0,1114399165","0,1591921272","0,2476338221","-0,1294403976","0,3215889609"
"0,1213939167","0,1129007442","0,2776140317","-0,02630428433","0,3008455484"
"0,1313469165","0,2208937009","0,2801957966","0,1755831152","0,3976595804"
"0,1413009164","0,1432692088","0,3003632089","0,4472389072","0,557464585"
"0,1512549166","0,05159721963","0,3110898529","0,4421886671","0,5431113946"
"0,1612089165","0,1604398499","0,2491809223","0,1277447051","0,3227240108"
"0,1711619166","0,1668343284","0,2221091909","-0,0688696754","0,2861978651"
"0,1811159165","-0,02140855685","0,2844546892","-0,1013269848","0,3027209183"
"0,1910699166","0,007204902582","0,2602393958","-0,1417464477","0,2964262289"
"0,2010239165","0,161368132","0,1780222812","-0,1941684902","0,3089223352"
"0,2109769166","0,2025848627","0,2137956197","-0,09616330862","0,3098331414"
"0,2209309165","0,07643202558","0,2461749418","0,1073320752","0,2792205775"
"0,2308849166","0,1193699208","0,2421044757","0,1142996174","0,2931350503"
"0,2408389165","0,183182851","0,2040601518","-0,0208967793","0,2750148684"
"0,2507919166","0,1831336248","0,1951244368","-0,0009963655472","0,2676050506"
"0,2607459165","-0,004015136808","0,08955522403","0,02364321649","0,09271063133"
"0,2706999166","0,1682873615","0,2387561408","-0,09256785572","0,3064211786"
"0,2806539165","0,1447891925","0,2672630712","-0,1860461229","0,3563798807"
"0,2906079167","0,03669500582","0,244462","-0,1269839823","0,2779084825"
"0,3005609165","0,03456523061","0,2818583793","-0,1811034715","0,3368046445"
"0,3105149167","0,1322451608","0,2514233295","-0,3252256429","0,4318265763"
"0,3204689166","0,1580940201","0,2167184966","-0,3231188911","0,4199600502"
"0,3304229164","0,04855169736","0,2425561731","-0,1540279394","0,2914024203"
"0,3403759166","0,02952854868","0,2682372905","-0,06777566135","0,2782386017"
"0,3503299165","0,07678223725","0,2345288962","-0,05248168409","0,2522967346"
"0,3602839166","0,03368939079","0,2652300674","0,03319698215","0,2694141855"
"0,3702379165","-0,01818202671","0,3578568339","0,1132196367","0,375780236"
"0,3801909166","0,01887868591","0,2991863836","0,1053966469","0,3177693347"
"0,3901449165","0,1256143451","0,1991410355","-0,001334919333","0,2354525381"
"0,4000989166","0,09853592601","0,245252105","-0,07586353004","0,2749785426"
"0,4100529165","0,0285566318","0,3190348303","-0,1200070846","0,3420532188"
"0,4200059166","0,02263142891","0,3228657067","-0,1771659565","0,368974555"
"0,4299599165","-0,03203883145","0,2747776204","-0,1642178822","0,3217090926"
"0,4399139166","-0,01012266319","0,3346672882","-0,03813378632","0,336984937"
"0,4498679165","0,03615176294","0,3689842314","0,01336088777","0,3709916796"
"0,4598219167","-0,0008347996697","0,3249195412","-0,04933822095","0,3286451965"
"0,4697749165","0,07048069295","0,3011409616","-0,03815600574","0,3116236314"
"0,4797289167","0,1052575379","0,3231786789","0,01066415191","0,3400548955"
"0,4896829166","0,06055106096","0,2547031789","-0,02875017464","0,2633756118"
"0,4996369164","0,09099996138","0,1975378751","-0,1054744148","0,2417168948"
"0,5095899166","0,05777264681","0,258261502","-0,1544863611","0,3064355037"
"0,5195439165","0,02797878072","0,3159446499","-0,2040672415","0,3771568282"
"0,5294979166","0,07627331022","0,2890312319","-0,1502570701","0,3345651774"
"0,5394519165","0,1343086066","0,2872146847","-0,07844624519","0,3266265303"
"0,5494049166","0,07519163014","0,2329932347","0,02352744162","0,2459535915"
"0,5593589165","0,07153936788","0,2681599245","0,1056317049","0,2969607438"
"0,5693129166","0,08751617203","0,2777821757","0,03672636151","0,2935487065"
"0,5792669165","0,1313856749","0,200971214","-0,08774331808","0,2556374665"
"0,5892199166","0,1692809679","0,1821103621","-0,1891966027","0,3124349285"
"0,5991739165","0,1201678282","0,1964954262","-0,1860601562","0,2960897519"
"0,6091279166","0,1351026585","0,1637258024","-0,1797954494","0,2781820813"
"0,6190819165","0,1805543449","0,1335142259","-0,1748703396","0,2846147495"
"0,6290349166","0,1372655436","0,1682094108","-0,1276096344","0,2518341799"
"0,6389889165","0,1078989263","0,1787278574","-0,1276751232","0,2447177198"
"0,6489429167","0,1324672819","0,153083541","-0,1129372162","0,231812351"
"0,6588969165","0,1495474739","0,1502235217","-0,03813963354","0,2153745228"
"0,6688499167","0,1501276639","0,2003091264","-0,06937487483","0,2597593787"
"0,6788039166","0,1465964207","0,2271276003","-0,1267518479","0,2985690679"
"0,6887579164","0,1404851667","0,1778735427","-0,1469048613","0,2701039014"
"0,6987119166","0,2012907643","0,1888456601","-0,1492063254","0,313756566"
"0,7086659165","0,2180781935","0,1984281137","-0,1349426275","0,3242550347"
"0,7186189166","0,1901822423","0,1346899182","-0,03819401264","0,2361555461"
"0,7285729165","0,2320484708","0,1692805842","-0,0005022758245","0,287232765"
"0,7385269166","0,1985287041","0,2257316141","-0,01903853416","0,3012156598"
"0,7484809165","0,1116961264","0,207405417","0,05827101231","0,242669616"
"0,7584339166","0,08721864011","0,2554372969","0,13922162","0,3037070353"
"0,7683879165","0,09504769642","0,2950524022","0,1222103155","0,3332046606"
"0,7783415415","0,1119182292","0,2859615167","0,03935643911","0,3095942641"
"0,7882955417","0,1415248748","0,2424341856","0,01842691541","0,2813239693"
"0,7982485415","0,1127731287","0,2314748589","0,1074554515","0,2790072811"
"0,8082025417","0,09792366771","0,2880445508","0,1289685273","0,3304415061"
"0,8181565416","0,05494369078","0,278584706","0,1211584014","0,3087192994"
"0,8281105414","-0,004518454168","0,2545701182","0,0001508581638","0,2546102596"
"0,8380635416","0,01742885051","0,2606205612","-0,06051985145","0,2681221627"
"0,8480175415","0,05143318696","0,1996848265","-0,03551306427","0,209238095"
"0,8579715416","0,09342768878","0,1679708444","0,03916114211","0,1961543593"
"0,8679255415","0,1167146637","0,2462273109","0,1054714912","0,292189043"
"0,8778785416","0,02951038577","0,2625350858","0,1283855599","0,2937318269"
"0,8878325415","0,0183019129","0,2329548988","0,06788734317","0,2433344124"
"0,8977865416","0,1097359387","0,2476958757","-0,04844885945","0,2752135808"
"0,9077405415","0,06058815423","0,2280236495","-0,05492523551","0,2422446917"
"0,9176945416","-0,008877425529","0,2095161522","-0,04450315833","0,2143743404"
"0,9276475415","0,06809470005","0,2083412638","-0,07456954122","0,2315244844"
"0,9376015416","0,07315292532","0,1446215967","-0,11917678","0,2011712246"
"0,9475555415","0,09869219285","0,1075791201","-0,1413412356","0,2032012817"
"0,9575095417","0,109836657","0,1472215977","-0,1697850162","0,2501304495"
"0,9674625415","0,1029902435","0,1117092643","-0,1548640913","0,216953536"
"0,9774165417","0,08683409432","0,08101682737","-0,1124261695","0,1635344913"
"0,9873705416","0,08784935368","0,1038453075","-0,1145802838","0,177848245"
"0,9973245414","0,04723272996","0,09470885027","-0,06808497906","0,1258422086"
"1,007277542","0,04726593118","0,09009346023","-0,05000948131","0,1133659916"
"1,017231541","0,06941595152","0,0810043655","-0,06901702523","0,1270575906"
"1,027185542","0,05112527624","0,07757453497","-0,04459495962","0,1030549017"
"1,037139541","0,079630416","0,1556395783","-0,09185508013","0,1974893344"
"1,047092542","0,06966043822","0,2007904254","-0,1153603023","0,2418209481"
"1,057046541","-0,004157260694","0,1786836744","-0,02920333385","0,1811021066"
"1,067000542","0,02430943362","0,211369683","0,02087865293","0,2137849611"
"1,076954541","0,07485579897","0,2008601899","-0,002337132096","0,2143680684"
"1,086907542","0,11843528","0,1640139605","-0,07299020827","0,2150699079"
"1,096861542","0,1531724552","0,1718436746","-0,1214039844","0,2602517569"
"1,106815542","0,1349368169","0,2012962461","-0,0814534682","0,2556614768"
"1,116769542","0,07778061278","0,2495674598","0,04259813547","0,2648553225"
"1,126723542","0,07353425514","0,276835146","0,07764049888","0,296771009"
"1,136676542","0,1441701186","0,2354424871","0,04871783137","0,2803419607"
"1,146630542","0,2309826513","0,2293626619","0,04938149035","0,3292396505"
"1,156584542","0,1797251001","0,2522585312","0,07017886698","0,3175855027"
"1,166538541","0,1037925363","0,2610233247","-0,009158493876","0,2810514982"
"1,176491542","0,1213375089","0,2620869332","-0,1093844479","0,3088321698"
"1,186445541","0,135718882","0,2608179047","-0,09205914795","0,3080916764"
"1,196399542","0,07843886308","0,2850816569","-0,07413977087","0,3048293162"
"1,206353541","0,02003095284","0,2713412483","-0,1054001552","0,2917816047"
"1,216306542","0,0528961055","0,2146032663","-0,1211899763","0,252070566"
"1,226260541","0,02170471832","0,1955029344","-0,1062696362","0,2235748817"
"1,236214542","-0,02152268719","0,2120383121","-0,1046651602","0,2374410824"
"1,246168541","0,0456950767","0,2192656534","-0,09891033053","0,2448442776"
"1,256121542","0,04370373432","0,1905937949","-0,06810018182","0,2070595224"
"1,266075541","-0,02027682826","0,2115292023","-0,04198008478","0,2166058188"
"1,276029542","0,0005896186084","0,2433065536","-0,02665979505","0,2447635009"
"1,285983542","0,03422220005","0,2365090558","0,02369818032","0,2401443237"
"1,295936542","0,05687710918","0,2453576107","0,002984418869","0,2518814591"
"1,305890542","0,06470527014","0,2584305231","-0,08536174715","0,2797494149"
"1,315844542","0,1112551732","0,2428530655","-0,1132354242","0,2901337386"
"1,325798542","0,09780882474","0,2567728375","-0,09487399757","0,2906887195"
"1,335751542","0,04534471884","0,2987817563","-0,07337495506","0,3109832238"
"1,345705542","0,03986151064","0,3070815866","-0,06701610804","0,3168267659"
"1,355659541","0,08778052099","0,2761681614","-0,1193638909","0,3134039114"
"1,365613542","0,1005629364","0,2691392966","-0,153944909","0,3259568992"
"1,375566541","0,1274393525","0,289757456","-0,1575672591","0,3535924392"
"1,385520542","0,1431953512","0,2455455621","-0,1302163231","0,312656077"
"1,395474541","0,1078499741","0,2274122866","-0,1179821938","0,2779707953"
"1,405428542","0,1173296994","0,264768576","-0,1058872283","0,308351686"
"1,415382541","0,1118290592","0,2488851994","-0,0507737124","0,2775383772"
"1,425335542","0,06565993773","0,2352574593","-0,07807143867","0,2564224037"
"1,435289541","0,04410417723","0,2352036284","-0,158951295","0,2872828561"
"1,445243542","0,0568247766","0,2343710945","-0,1498805094","0,2839419523"
"1,455196542","0,07652711593","0,2567900502","-0,1430363435","0,3037382506"
"1,465150542","0,02225132335","0,2821824247","-0,1664649671","0,3283787866"
"1,475104542","0,02832882794","0,3012937202","-0,1623964745","0,3434429257"
"1,485058542","0,02465173328","0,3066656668","-0,1444069308","0,3398601195"
"1,495012542","0,04680524368","0,3501044857","-0,1654966682","0,3900679799"
"1,504965542","0,07624027345","0,3873444155","-0,189462651","0,4378862542"
"1,514919542","0,05185321804","0,385225348","-0,200603351","0,437411739"
"1,524873542","0,05860212917","0,3816824835","-0,1937042212","0,4320151075"
"1,534827542","0,075178145","0,4510488798","-0,1603850323","0,4845825049"
"1,544780541","0,03478300285","0,4876009578","-0,1118595743","0,5014749402"
"1,554734542","0,05153492851","0,4600094455","-0,0697806716","0,4681173794"
"1,564688541","0,09811143642","0,4464515065","0,01442975879","0,4573325044"
"1,574642542","0,1013502457","0,4827794169","0,05596194685","0,4964670957"
"1,584595541","0,08897260381","0,503149362","0,04956918597","0,5133541749"
"1,594549542","0,08181815173","0,5492078066","0,01572140872","0,5554913028"
"1,604503541","0,09505096721","0,5971717126","-0,0529728502","0,60700483"
"1,614457542","0,1051738679","0,6182970084","-0,07393219471","0,6315209439"
"1,624410541","0,04064680997","0,6076630428","-0,07799834847","0,6139953412"
"1,634364542","0,05042130802","0,6245413962","-0,0702905488","0,6305037868"
"1,644318542","0,07071774272","0,6903408448","0,0006741839647","0,6939538426"
"1,654272542","0,03416305181","0,736151002","-0,001590442657","0,7369450057"
"1,664225542","-0,0417374436","0,778693589","-0,02093829453","0,7800923868"
"1,674179542","-0,03345597725","0,824263718","0,01281592727","0,8250419548"
"1,684133542","0,01575512158","0,9018328808","0,02216679454","0,9022428363"
"1,694087542","0,08551907379","0,9617029604","-0,009598204494","0,9655455565"
"1,704040542","0,1148418736","0,958221309","-0,07468473136","0,9679641223"
"1,713994541","0,1469684863","1,050821324","-0,121449008","1,067977085"
"1,723948542","0,1798914533","1,058880688","-0,2220883602","1,096773671"
"1,733902541","0,2111252694","1,02868362","-0,2115224415","1,071216884"
"1,743855542","0,1759924386","1,074161655","-0,1776173615","1,102880105"
"1,753809541","0,133325105","1,155900029","-0,156469152","1,174037076"
"1,763763542","0,08302287916","1,176244685","-0,1157140589","1,184835052"
"1,773717541","0,02264628449","1,199716943","-0,004205317497","1,199938033"
"1,783672041","-0,1022453996","1,312559435","0,1127185303","1,321352284"
"1,793625042","-0,2612054837","1,463181517","0,2681053627","1,510300944"
"1,803579042","-0,3033084331","1,557069528","0,3045662606","1,615308679"
"1,813533042","-0,2126750373","1,431174297","-0,04480195105","1,447583419"
"1,823487042","-0,1877349815","1,264110283","-0,4541497314","1,356271068"
"1,833440042","-0,1719424195","1,317384265","-0,6505541968","1,479285726"
"1,843394042","-0,3751374392","1,408243272","-0,7047403443","1,618807018"
"1,853348042","-0,6309449744","1,535726168","-0,5154408306","1,738454967"
"1,863302042","-0,6784933627","1,677673613","-0,2560267693","1,827701207"
"1,873255042","-0,4633277404","1,683701069","-0,114035908","1,75000745"
"1,883209042","-0,4725804109","1,743736479","-0,1644850999","1,814112593"
"1,893163041","-0,3837422017","2,006555082","-0,4946533942","2,101952272"
"1,903117042","-0,2279646292","2,560477023","-0,940733968","2,7373328"
"1,913070041","-1,458286959","1,509609433","-0,552713322","2,170486929"
"1,923024042","-0,1879258566","1,747587601","-0,6046617401","1,858761516"
"1,932978041","0,4837373004","1,931141495","-0,3800883132","2,026765002"
"1,942932042","0,4486816711","1,352827455","-0,366797592","1,471732937"
"1,952885041","1,092857469","1,067203834","-0,6185190564","1,647976728"
"1,962839042","1,121220851","1,067897314","-0,5192608166","1,633148084"
"1,972793041","1,093651521","1,005864641","-0,6438573807","1,619379404"
"1,982747042","1,273359555","1,131877109","-0,9090847439","1,931068465"
"1,992700042","1,104155094","1,13833799","-0,8737962127","1,810660562"
"2,002654042","0,8450705963","1,084094393","-1,004939319","1,702735447"
"2,012608042","0,7169230181","1,14868186","-1,245663925","1,83987153"
"2,022562042","0,6262504642","1,371095472","-1,31449267","1,999995854"
"2,032515042","0,7020793495","1,537259892","-1,025901588","1,977007197"
"2,042469042","0,8618126366","1,540311846","-1,210129811","2,140022375"
"2,052423042","0,6155813422","1,507731892","-1,463004931","2,189196034"
"2,062377041","0,4362052478","1,479745802","-1,542720022","2,181721275"
"2,072330042","0,1943627639","1,545776362","-1,441065009","2,122232269"
"2,082284041","-0,1535607835","1,276316638","-0,8619784051","1,547763498"
"2,092238042","-0,08208511367","0,9853678116","-0,4678468341","1,093877667"
"2,102192041","0,2312728011","0,9552129896","-0,3100667363","1,03056312"
"2,112146042","0,5052990543","1,054266138","-0,1325031692","1,176588847"
"2,122099041","0,6431037477","1,259245546","-0,3289655221","1,451723145"
"2,132053042","0,4741029163","1,585512724","-0,8997052252","1,883638411"
"2,142007041","-0,146044809","1,624680005","-1,292098419","2,080969133"
"2,151961042","-0,9634262811","1,740099949","-1,157954521","2,30152052"
"2,161914041","-1,755980256","1,889015668","-0,6633309478","2,663053661"
"2,171868042","-0,7974893906","2,109025636","-1,250601899","2,578368393"
"2,181822042","-0,1641661343","2,242419482","-1,670199264","2,800885794"
"2,191776042","-0,6876139958","1,623245391","-1,367509375","2,231102978"
"2,201729042","-0,8482050694","1,500225821","-0,6394936037","1,838227794"
"2,211683042","-0,3417155951","1,913543861","0,1111789584","1,946992659"
"2,221637042","-0,3361200655","2,032663777","0,3158689284","2,084339681"
"2,231591042","-0,5102983141","1,908375361","0,6639413971","2,084015131"
"2,241544042","-0,431924684","2,01607888","0,9066604882","2,252369025"
"2,251498041","-0,171913019","2,19104833","0,9534399676","2,395682501"
"2,261452042","0,1072408678","2,162586569","0,9572090828","2,367388963"
"2,271406041","0,3156434817","2,045707891","0,6809924626","2,179059962"
"2,281359042","0,195593146","2,113467034","0,3156578439","2,145842366"
"2,291313041","-0,08794292741","2,221374183","0,0250751996","2,223255718"
"2,301267042","-0,3513272116","2,305994211","-0,3104058748","2,35316636"
"2,311221041","-0,4724092337","2,329223445","-0,4642800325","2,42157145"
"2,321174042","-0,3556086525","2,436363439","-0,5530869591","2,523535121"
"2,331128041","-0,3727544064","2,559865404","-0,7180006599","2,684656716"
"2,341082042","-0,6456600773","2,621665211","-0,8422990161","2,82833397"
"2,351036042","-0,7731497707","2,745222725","-1,018732901","3,028502122"
"2,360989042","-0,7387812989","3,128346913","-1,37858634","3,497549501"
"2,370943042","-0,587521139","3,539504699","-1,997521718","4,106503089"
"2,380897042","-0,6076724714","3,427063619","-2,675200564","4,38984384"
"2,390851042","-0,9833882368","3,163061247","-3,077887781","4,521659216"
"2,400804042","-1,296052891","2,855998811","-2,529734702","4,029396973"
"2,410758042","-1,17559769","2,623144557","-1,880516009","3,435004768"
"2,420712042","-1,096233067","2,707590922","-0,9282834917","3,065042541"
"2,430666042","-1,194620656","3,16398423","0,6391334152","3,44186087"
"2,440619041","-1,159140775","3,60734468","1,292597187","4,003417348"
"2,450573042","-1,411811827","3,793606272","1,159625071","4,210628396"
"2,460527041","-0,7305517083","3,369355401","0,9491042572","3,575899958"
"2,470481042","0,1351452336","2,909176606","0,5964323688","2,972760389"
"2,480434041","0,2815198621","2,993119526","-0,09516752779","3,007835565"
"2,490388042","0,3921318964","3,197000826","-0,5343957496","3,264990126"
"2,500342041","0,4459030377","3,146500471","-0,4024971825","3,203326195"
"2,510296042","1,338206784","2,779725683","0,594077695","3,141751196"
"2,520249041","1,466679322","2,456207719","1,099952481","3,064963304"
"2,530203042","0,7426890662","2,099345716","0,6231237388","2,31238463"
"2,540157042","1,349017847","1,657631989","-1,239906757","2,470822076"
"2,550111042","1,673269783","2,381643148","-1,662349961","3,351934254"
"2,560064042","1,376308119","3,137989556","-1,217720082","3,636487961"
"2,570018042","0,5858030078","3,698374133","-0,1420540112","3,747174366"
"2,579972042","0,7008338926","3,760908935","1,185445206","4,005107301"
"2,589926042","1,475185558","3,150789111","2,321558622","4,182496729"
"2,599879042","1,613953142","2,621517569","2,833326232","4,183890133"
"2,609833041","1,964295061","2,553787516","2,854782005","4,304656323"
"2,619787042","2,756269577","2,590296069","3,428577463","5,10507582"
"2,629741041","2,38292822","2,39408193","3,881327371","5,14535493"
"2,639694042","0,5170175323","1,67915676","3,596290811","4,002521973"
"2,649648041","-0,1669182725","0,7631797564","2,729329993","2,838934177"
"2,659602042","0,3217187753","0,7419855","2,647837933","2,768590106"
"2,669556041","0,8535689396","0,941683702","2,298227062","2,626251275"
"2,679509042","0,9404215805","1,028707666","1,477016614","2,030815179"
"2,689463041","0,3949517527","1,357654477","1,15996304","1,828859432"
"2,699417042","0,2905359397","1,404546077","1,574428888","2,129785702"
"2,709371042","0,2479141961","1,309701754","3,455161244","3,70336595"
"2,719325042","0,4832848721","1,691716725","6,845955169","7,068420752"
"2,729278042","1,304511766","1,881127043","6,605966143","6,991364572"
"2,739232042","1,221808674","2,468409104","6,207501785","6,791092575"
"2,749186042","0,8448731797","2,258747539","5,067635041","5,612189951"
"2,759140042","0,2921650471","1,453052385","3,72446821","4,008539023"
"2,769093042","-0,06679998033","1,370909092","2,971412323","3,273094127"
"2,779046542","-0,03547264539","1,921878628","2,771190795","3,372591613"
"2,789000541","0,05263166517","2,757762664","2,816227219","3,94197422"
"2,798953542","0,07280755587","3,424849278","2,903810323","4,49076919"
"2,808907541","0,2511566234","3,35216371","2,940215673","4,465976869"
"2,818861542","0,07280192792","2,96446583","2,627858582","3,962196172"
"2,828815541","-0,02718012415","3,062839094","1,848399593","3,577471611"
"2,838769542","0,1118366971","3,575824094","0,4798722178","3,609612548"
"2,848722541","-0,1465380216","3,847090754","-1,227514753","4,040838172"
"2,858676542","-0,7202096649","3,995091091","-2,792202179","4,927052648"
"2,868630541","-1,26532548","3,802916501","-4,045511924","5,694680783"
"2,878584542","-1,659558939","3,359673874","-4,735009162","6,038365356"
"2,888537541","-1,810911339","2,949894569","-4,807750863","5,924166288"
"2,898491542","-1,457941242","2,949014855","-5,000795519","5,985836375"
"2,908445542","-1,014151388","3,201919504","-4,952799234","5,984230259"
"2,918399542","-0,6028349237","3,208770979","-4,283984767","5,386292475"
"2,928352542","-0,4992376113","3,053028343","-3,503590808","4,673902952"
"2,938306542","-0,612962959","2,913334853","-3,052675171","4,264043768"
"2,948260542","-1,301477061","2,595022373","-2,684862503","3,954297702"
"2,958214542","-1,791425054","2,077501396","-2,629723844","3,800087271"
"2,968167542","-2,304693498","1,885474156","-2,772552611","4,068620515"
"2,978121541","-2,157898126","1,759952124","-3,005608009","4,09727169"
"2,988075542","-1,352965887","1,511055303","-3,159493276","3,754490989"
"2,998029541","-0,8569870757","1,889922718","-3,335296832","3,928159834"
"3,007982542","-1,063291754","2,10481067","-3,745612911","4,426108154"
"3,017936541","-1,116028889","2,359424021","-3,620650896","4,463352451"
"3,027890542","-1,100751795","2,976650258","-2,257013547","3,894382034"
"3,037844541","-1,02168136","3,604942351","-2,218939987","4,354668394"
"3,047797542","-1,328586214","4,080064583","-2,036401024","4,749631298"
"3,057751541","-2,231087578","3,499468521","0,775824945","4,22207722"
"3,067705542","-2,804207098","1,911382584","4,496819324","5,633679513"
"3,077659542","-3,053731179","0,3252195033","8,092415485","8,65553177"
"3,087612542","-2,439629694","-0,0946700942","10,20366496","10,49168881"
"3,097566542","-0,7474819558","0,2449731197","10,85946294","10,88791424"
"3,107520542","0,5228151928","0,104875733","11,37855536","11,39104283"
"3,117474542","0,4855498642","-0,09835404105","10,44134025","10,45308655"
"3,127427542","0,2326603454","-0,0207230439","8,459890185","8,463114215"
"3,137381542","0,1402527399","0,2926796751","6,042842438","6,051551616"
"3,147335542","0,09368244465","0,959833094","3,341038213","3,477440482"
"3,157289542","0,5828765494","1,812838727","1,231468055","2,2677396"
